,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scrape_date
293,Mainframe Developer - COBOL/JCL,Cliqhr,4-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Roles and ResponsibilitiesJob description - Resource with good experience in working on...,DevOps,JCL DB2 cobol dbms mainframes mainframe production support development,9 Days Ago,2023-03-05
294,Cyient Ltd: Hiring For DB2 Mainframe and Mainframe Developer For Pune,Cyient,3-8 Yrs,Not disclosed,Pune, Experience: 3-7 Yrs. . Job Location: Pune. . Notice period: Immediate to 1 Month,Mainframes,ims cobol dbms mainframe db2 hiring jcl development,13 Days Ago,2023-03-05
295,DB2 Mainframes Developer,Cyient,6-10 Yrs,Not disclosed,Pune, . . . . . . . a) BTech / BE (Computer Science / IT/Mechanical) or BCA / MCA is preferre...,dbms,jcl ispf healthcare computer development ims science,14 Days Ago,2023-03-05
296,Mainframe Developer with Strong DB2,Tech Mahindra,4-9 Yrs,Not disclosed,"Hybrid - Bangalore/Bengaluru, Mumbai (All Areas)"," JD 1-Primary - Cobol, DB2, JCL, VSAM, SQLHighly Desired - Stored Procedures”",DB2,Cobol Mainframe CICS jcl dbms mainframes development,3 Days Ago,2023-03-05
297,Mainframe Natural Adabas Developer,Tech Mahindra,3-8 Yrs,10-18 Lacs PA,"Hybrid - Bangalore/Bengaluru, Mumbai (All Areas)"," Minimum 3 years of Hands on experience in Mainframe Natural & Adabas (MUST), JCL, Cobol...",JCL,Cobol Mainframe Natural Adbas adabas development mainframes natural adabas,3 Days Ago,2023-03-05
298,Mainframe Developer - JCL/CICS/COBOL,Career Infosystem,3-8 Yrs,Not disclosed,"Kolkata, Pune, Chennai, Bangalore/Bengaluru"," Develop IBM Mainframe applications using JCL, COBOL, CICS, DB2 and SQL etc. . - Knowled...",JCL,Db2 Cics system testing integration testing system mainframes test case review,9 Days Ago,2023-03-05
299,Cobol Mainframe Developer,Luxoft,5-7 Yrs,Not disclosed,Bangalore/Bengaluru, Bachelors degree or equivalent combination of education and experience Skills . . Must ...,jcl,banking product life cycle technical development life cycle technical architecture cobol software development life cycle,1 Day Ago,2023-03-05
300,Middleware WebSphere Administrator,Clover Infotech,1-6 Yrs,4-6 Lacs PA,"Mumbai, Pune", Roles and Responsibilities Skill 1- Websphere Admin Experience- 3+ and Above Location- ...,WAS Administration,jboss administration websphere middleware,2 Days Ago,2023-03-05
301,Kony Middleware Administrator,Tech Mahindra,8-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Navi Mumbai, Chennai", Candidate should have been working as a Kony Middleware Administrator with good experie...,Kony,websphere linux administration middleware visual websphere application server application server,2 Days Ago,2023-03-05
302,Middleware Administrator,MRT Infotech,5-8 Yrs,8-14 Lacs PA,"Devanahalli, Bangalore/Bengaluru"," Experience : 4-8 Years, . . Work from Office, . . we are looking for Immediate Joiners",middleware,websphere shell scripting administration jboss apache tomcat redhat linux middleware administration,10 Days Ago,2023-03-05
303,Middleware Administrator,Oracle,6-11 Yrs,Not disclosed,"Hybrid - Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", OCI Certification Foundation / Architect / professional is added advantageWe ensures th...,Weblogic Administration,SOA middleware middleware administration weblogic oracle administration oracle cloud,23 Days Ago,2023-03-05
304,Middleware Administrator-DH,Infosys,3-6 Yrs,Not disclosed,Bangalore/Bengaluru, Bachelor of Engineering Good understanding of SDLC and agile methodologies,Middleware,performance performance engineering sdlc agile engineering WAS,3 Days Ago,2023-03-05
305,Middleware Administrator - Websphere/weblogic,Career Infosystem,5-8 Yrs,Not disclosed,Greater Noida, Job Description : Middleware Administrator - Websphere/Weblogic/IIS - Strong hands on e...,Tomcat,MQ JBOSS application application server apache tomcat itil middleware,9 Days Ago,2023-03-05
306,Middleware Administrator,Fusion Plus Solutions Inc,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad, Maintenance of Tomcat and IIS servers that host EAS applications Managing a cluster of ...,management,application administration troubleshooting monitoring change management ssl iis,4 Days Ago,2023-03-05
307,"Oracle Middleware Administrator
",NetConnect Global,5-10 Yrs,Not disclosed,"Navi Mumbai, Delhi / NCR", Location: Navi Mumbai / DelhiExperience: 5-10 YearsMode: Work from Office Notice Period...,oracle enterprise manager,weblogic server oracle 13c patching middleware server enterprise administration,2 Days Ago,2023-03-05
308,Middleware Weblogic/WCI Administrator,Miratech,5-7 Yrs,Not disclosed,Permanent Remote, Must have good Linux Administration skillsExperience in installing using automation thr...,weblogic administration,database administration administration automation dbms middleware weblogic python,2 Days Ago,2023-03-05
309,Middleware WebSphere Administrator,Clover Infotech,2-10 Yrs,Not disclosed,"Mumbai, Pune"," Responsibilities : Apart from L1 activities, L2 will help L1 in any of the activities. ...",apache,san administration websphere administration troubleshooting ssl jms websphere,30+ Days Ago,2023-03-05
310,Middleware Messaging Engineer,Fusion Plus Solutions Inc,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad," Design, build and support Enterprise large scale distributed Messaging platforms ( Acti...",application,middleware operational support activemq operations application development cloud messaging,1 Day Ago,2023-03-05
311,Middleware Engineer,Fusion Plus Solutions Inc,8-9 Yrs,Not disclosed,Hyderabad/Secunderabad, . . . . . . . 8+ years of expert knowledge and working experience supporting the infras...,xml,computer j2ee apache workflow computer science jsp http,1 Day Ago,2023-03-05
312,Oracle Middleware Administrator,Net Connect,7-10 Yrs,Not disclosed,New Delhi, Oracle WebLogic / SOA / OCI Certification - Preferred . Educational Qualification: . . ...,oracle idm,administration soa weblogic troubleshooting middleware performance tuning performance,8 Days Ago,2023-03-05
313,Oracle Middleware Administrator,Net Connect,7-10 Yrs,10-20 Lacs PA,"Delhi / NCR, Mumbai (All Areas)", Location: Mumbai / Delhi/NCR Experience: 7-10 Years Mode: Work from Office Salary: - 10...,kubernetes,oracle enterprise manager oem middleware docker management server weblogic server,9 Days Ago,2023-03-05
314,Middleware Engineer,BNP Paribas,5-7 Yrs,Not disclosed,Chennai," Basic Experience in DB Administration (Oracle, MS SQL, Mongo DB) Bachelor s Degree in c...",scheduling,wealth management management monitoring financial services production engineering production engineering,4 Days Ago,2023-03-05
315,Middleware Administrator,GSR Business Services,6-10 Yrs,10-20 Lacs PA,"Chennai, Bangalore/Bengaluru", Experience with at least three projects performing end to end Infrastructure role with ...,Ibm Bpm,websphere administration websphere portal server openshift middleware business process management middleware administration,24 Days Ago,2023-03-05
316,Middleware MQ Admin,Varite,5-9 Yrs,Not disclosed,Bangalore/Bengaluru, Implement Client MQ-Unix; Implement Client MQ-Windows; Implement Client Integration Bus...,unix,websphere mq webmethods middleware microsoft windows administration MQ Administrator,15 Days Ago,2023-03-05
317,Middleware Administrator,Diverse Lynx,3-7 Yrs,Not disclosed,Bengaluru, Job Title- Middleware Administrator Location- Bangalore Period- Long Term Job Descripti...,debugging,apache weblogic websphere apache tomcat middleware administration middleware administration,30+ Days Ago,2023-03-05
318,middleware Admin,Diverse Lynx,2-7 Yrs,Not disclosed,Bangalore/Bengaluru," Messaging Technologies/Tools: - IBM MQ, MQXR, MQTT - IIB (Broker) Secure Transport Tech...",system administration,ssl administration management middleware websphere middleware administration system,30+ Days Ago,2023-03-05
319,Middleware Admin,Diverse Lynx,2-7 Yrs,Not disclosed,Bengaluru," Websphere Application Server , WAS Administration , IBM HTTP Server",middleware administration,administration http websphere middleware was administration Middleware Administrator,30+ Days Ago,2023-03-05
